"","X","params","values","ExpDay","Day","Zeit","Hour","Col","QR","ID","Mod","Trial","TimeOfDay","ColID"
"97",6,"DegreeCentralization",0.000931317414952245,"1","2",4,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 11","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"98",7,"KeystoneAssortativity",-0.0226314763147633,"1","2",4,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 11","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"99",8,"KeystoneAssPercentile",38.075,"1","2",4,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 11","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"100",0,"Transitivity",0.956311955542205,"1","2",5,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 12","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"101",1,"Average Clustering",0.957178296992887,"1","2",5,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 12","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"102",2,"GlobalEfficiency",86.684695523767,"1","2",5,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 12","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"103",3,"Sum",133546,"1","2",5,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 12","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"104",4,"Modularity",0.0145499538318302,"1","2",5,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 12","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"105",5,"Assortativity",-0.0353078823725228,"1","2",5,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 12","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"106",6,"DegreeCentralization",0.000447861254801299,"1","2",5,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 12","Head_Head","RooibosTea","Night","RooibosTea TRUE"
