"","X","params","values","ExpDay","Day","Zeit","Hour","Col","QR","ID","Mod","Trial","TimeOfDay"
"59",4,"Modularity",0.10655248553044,"1","2",16,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"60",5,"Assortativity",-0.0288185916970448,"1","2",16,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"61",0,"Transitivity",0.878765648294957,"1","2",17,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"62",1,"Average Clustering",0.886608648577113,"1","2",17,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"63",2,"GlobalEfficiency",5.9708890454775,"1","2",17,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"64",3,"Sum",9962,"1","2",17,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"65",4,"Modularity",0.0748503417584291,"1","2",17,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"66",5,"Assortativity",-0.0663760370824242,"1","2",17,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"67",0,"Transitivity",0.935840839354647,"1","2",18,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"68",1,"Average Clustering",0.937344308199606,"1","2",18,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"69",2,"GlobalEfficiency",7.5831713481122,"1","2",18,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"70",3,"Sum",13844,"1","2",18,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"71",4,"Modularity",0.0384279390585867,"1","2",18,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"72",5,"Assortativity",-0.0309005496614529,"1","2",18,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"73",0,"Transitivity",0.951022114142412,"1","2",19,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"74",1,"Average Clustering",0.951967274557594,"1","2",19,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"75",2,"GlobalEfficiency",8.58861414681887,"1","2",19,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"76",3,"Sum",16224,"1","2",19,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"77",4,"Modularity",0.021512800088699,"1","2",19,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"78",5,"Assortativity",-0.0411944696240497,"1","2",19,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"79",0,"Transitivity",0.900726549323185,"1","2",20,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"80",1,"Average Clustering",0.904135154940595,"1","2",20,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"81",2,"GlobalEfficiency",6.88501167207497,"1","2",20,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"82",3,"Sum",11650,"1","2",20,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"83",4,"Modularity",0.0775086076369063,"1","2",20,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"84",5,"Assortativity",-0.0531660798468137,"1","2",20,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"85",0,"Transitivity",0.946961452545965,"1","2",21,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"86",1,"Average Clustering",0.947622206806931,"1","2",21,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"87",2,"GlobalEfficiency",6.97363274207772,"1","2",21,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"88",3,"Sum",13170,"1","2",21,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"89",4,"Modularity",0.0598161648762258,"1","2",21,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"90",5,"Assortativity",-0.0404080405312636,"1","2",21,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"91",0,"Transitivity",0.965055789415636,"1","2",22,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"92",1,"Average Clustering",0.965709057475765,"1","2",22,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"93",2,"GlobalEfficiency",7.73696657476071,"1","2",22,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"94",3,"Sum",14698,"1","2",22,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"95",4,"Modularity",0.00803742222350434,"1","2",22,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"96",5,"Assortativity",-0.0296182664896396,"1","2",22,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"97",0,"Transitivity",0.928604109888798,"1","2",23,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"98",1,"Average Clustering",0.929393136543956,"1","2",23,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"99",2,"GlobalEfficiency",6.91922548460005,"1","2",23,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"100",3,"Sum",12424,"1","2",23,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"101",4,"Modularity",-0.0035005363194183,"1","2",23,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"102",5,"Assortativity",-0.0461534493420286,"1","2",23,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"103",0,"Transitivity",0.93330182548591,"1","2",0,17,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"104",1,"Average Clustering",0.933798715287933,"1","2",0,17,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"105",2,"GlobalEfficiency",6.80186254479894,"1","2",0,17,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"106",3,"Sum",12442,"1","2",0,17,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"107",4,"Modularity",0.0166773636779625,"1","2",0,17,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"108",5,"Assortativity",-0.0286360887400308,"1","2",0,17,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"109",0,"Transitivity",0.934789075980246,"1","2",1,18,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"110",1,"Average Clustering",0.93675098459686,"1","2",1,18,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"111",2,"GlobalEfficiency",6.91066142635782,"1","2",1,18,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"112",3,"Sum",12570,"1","2",1,18,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"113",4,"Modularity",0.0377188175809738,"1","2",1,18,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"114",5,"Assortativity",-0.0390086810798015,"1","2",1,18,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"115",0,"Transitivity",0.950735461369323,"1","2",2,19,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"116",1,"Average Clustering",0.951561261742736,"1","2",2,19,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"117",2,"GlobalEfficiency",7.7797781830344,"1","2",2,19,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"118",3,"Sum",15028,"1","2",2,19,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"119",4,"Modularity",0.029516263103302,"1","2",2,19,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"120",5,"Assortativity",-0.0372402336818359,"1","2",2,19,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"121",0,"Transitivity",0.933035087367344,"1","2",3,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"122",1,"Average Clustering",0.934526625968383,"1","2",3,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"123",2,"GlobalEfficiency",7.06972629961934,"1","2",3,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"124",3,"Sum",12622,"1","2",3,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"125",4,"Modularity",0.0324424176211935,"1","2",3,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"126",5,"Assortativity",-0.0568641132241973,"1","2",3,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"127",0,"Transitivity",0.91267373230945,"1","2",4,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"128",1,"Average Clustering",0.914866926034693,"1","2",4,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"129",2,"GlobalEfficiency",7.66333842313885,"1","2",4,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"130",3,"Sum",13178,"1","2",4,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"131",4,"Modularity",0.0326386290095979,"1","2",4,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"132",5,"Assortativity",-0.0399510326772559,"1","2",4,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"133",0,"Transitivity",0.950497860901829,"1","2",5,22,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"134",1,"Average Clustering",0.950958395377421,"1","2",5,22,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"135",2,"GlobalEfficiency",7.69813714290159,"1","2",5,22,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"136",3,"Sum",14078,"1","2",5,22,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"137",4,"Modularity",0.0191521489036758,"1","2",5,22,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"138",5,"Assortativity",-0.0428133146282632,"1","2",5,22,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"139",0,"Transitivity",0.904279826693438,"1","2",6,23,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"140",1,"Average Clustering",0.905575806711291,"1","2",6,23,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"141",2,"GlobalEfficiency",6.73007900988329,"1","2",6,23,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"142",3,"Sum",11138,"1","2",6,23,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"143",4,"Modularity",0.0324740201615663,"1","2",6,23,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"144",5,"Assortativity",-0.0407354999596653,"1","2",6,23,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"145",0,"Transitivity",0.858077318829928,"2","2",7,24,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"146",1,"Average Clustering",0.862775562708855,"2","2",7,24,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"147",2,"GlobalEfficiency",5.92589010099506,"2","2",7,24,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"148",3,"Sum",9402,"2","2",7,24,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"149",4,"Modularity",0.0589314389109461,"2","2",7,24,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"150",5,"Assortativity",-0.0304722448578006,"2","2",7,24,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"151",0,"Transitivity",0.899178622275764,"2","2",8,25,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"152",1,"Average Clustering",0.900059812871887,"2","2",8,25,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"153",2,"GlobalEfficiency",6.08625950796908,"2","2",8,25,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"154",3,"Sum",10488,"2","2",8,25,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"155",4,"Modularity",0.0427621578778638,"2","2",8,25,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"156",5,"Assortativity",-0.0327967286254677,"2","2",8,25,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"157",0,"Transitivity",0.862133927042302,"2","2",9,26,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"158",1,"Average Clustering",0.867885437007402,"2","2",9,26,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"159",2,"GlobalEfficiency",5.54104569840293,"2","2",9,26,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"160",3,"Sum",9080,"2","2",9,26,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"161",4,"Modularity",0.0102736080653612,"2","2",9,26,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"162",5,"Assortativity",-0.065553984181202,"2","2",9,26,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"163",0,"Transitivity",0.883373777483639,"2","2",10,27,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"164",1,"Average Clustering",0.890018131538468,"2","2",10,27,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"165",2,"GlobalEfficiency",5.65488581783892,"2","2",10,27,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"166",3,"Sum",9296,"2","2",10,27,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"167",4,"Modularity",0.0350140419064999,"2","2",10,27,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"168",5,"Assortativity",-0.0549283836101984,"2","2",10,27,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"169",0,"Transitivity",0.886621540911806,"2","2",11,28,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"170",1,"Average Clustering",0.89424688287976,"2","2",11,28,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"171",2,"GlobalEfficiency",5.8923972425807,"2","2",11,28,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"172",3,"Sum",9578,"2","2",11,28,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"173",4,"Modularity",0.0224211353705621,"2","2",11,28,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
