"","X","params","values","ExpDay","Day","Zeit","Hour","Col","QR","ID","Mod","Trial","TimeOfDay","ColID"
"137",3,"Sum",12622,"1","2",13,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 20","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"138",4,"Modularity",0.0324424176211935,"1","2",13,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 20","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"139",5,"Assortativity",-0.0568641132241973,"1","2",13,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 20","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"140",6,"DegreeCentralization",0.000236855305958122,"1","2",13,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 20","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"141",0,"Transitivity",0.91267373230945,"1","2",14,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 21","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"142",1,"Average Clustering",0.914866926034693,"1","2",14,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 21","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"143",2,"GlobalEfficiency",7.66333842313885,"1","2",14,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 21","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"144",3,"Sum",13178,"1","2",14,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 21","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"145",4,"Modularity",0.0326386290095979,"1","2",14,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 21","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"146",5,"Assortativity",-0.0399510326772559,"1","2",14,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 21","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"147",6,"DegreeCentralization",0.000308845867770606,"1","2",14,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 21","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"148",0,"Transitivity",0.950497860901829,"1","2",15,22,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 22","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"149",1,"Average Clustering",0.950958395377421,"1","2",15,22,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 22","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"150",2,"GlobalEfficiency",7.69813714290159,"1","2",15,22,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 22","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"151",3,"Sum",14078,"1","2",15,22,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 22","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"152",4,"Modularity",0.0191521489036758,"1","2",15,22,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 22","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"153",5,"Assortativity",-0.0428133146282632,"1","2",15,22,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 22","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"154",6,"DegreeCentralization",0.000255079112689171,"1","2",15,22,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 22","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"155",0,"Transitivity",0.904279826693438,"1","2",16,23,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 23","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"156",1,"Average Clustering",0.905575806711291,"1","2",16,23,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 23","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"157",2,"GlobalEfficiency",6.73007900988329,"1","2",16,23,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 23","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"158",3,"Sum",11138,"1","2",16,23,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 23","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"159",4,"Modularity",0.0324740201615663,"1","2",16,23,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 23","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"160",5,"Assortativity",-0.0407354999596653,"1","2",16,23,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 23","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"161",6,"DegreeCentralization",0.000366908831980211,"1","2",16,23,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 23","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"162",0,"Transitivity",0.858077318829928,"2","2",17,24,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 24","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"163",1,"Average Clustering",0.862775562708855,"2","2",17,24,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 24","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"164",2,"GlobalEfficiency",5.92589010099506,"2","2",17,24,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 24","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"165",3,"Sum",9402,"2","2",17,24,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 24","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"166",4,"Modularity",0.0589314389109461,"2","2",17,24,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 24","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"167",5,"Assortativity",-0.0304722448578006,"2","2",17,24,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 24","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"168",6,"DegreeCentralization",0.000438465111634954,"2","2",17,24,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 24","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"267",0,"Transitivity",0.939186170729339,"2","3",8,39,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 39","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"268",1,"Average Clustering",0.939756911845891,"2","3",8,39,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 39","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"269",2,"GlobalEfficiency",8.17319696361584,"2","3",8,39,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 39","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"270",3,"Sum",15144,"2","3",8,39,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 39","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"271",4,"Modularity",0.0144132702181614,"2","3",8,39,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 39","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"272",5,"Assortativity",-0.0418903129560245,"2","3",8,39,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 39","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"273",6,"DegreeCentralization",0.000320565497779693,"2","3",8,39,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 39","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"274",0,"Transitivity",0.937360921335155,"2","3",9,40,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 40","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"275",1,"Average Clustering",0.937787555064007,"2","3",9,40,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 40","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"276",2,"GlobalEfficiency",7.78561446207706,"2","3",9,40,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 40","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"277",3,"Sum",13748,"2","3",9,40,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 40","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"278",4,"Modularity",0.0101218838380089,"2","3",9,40,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 40","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"279",5,"Assortativity",-0.0191860449508398,"2","3",9,40,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 40","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"280",6,"DegreeCentralization",0.000275743413573798,"2","3",9,40,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 40","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"281",0,"Transitivity",0.945526417277285,"2","3",10,41,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 41","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"282",1,"Average Clustering",0.945912073539715,"2","3",10,41,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 41","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"283",2,"GlobalEfficiency",7.88762911230617,"2","3",10,41,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 41","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"284",3,"Sum",14368,"2","3",10,41,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 41","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"285",4,"Modularity",-0.0105364370712447,"2","3",10,41,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 41","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"286",5,"Assortativity",-0.00430899034904928,"2","3",10,41,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 41","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"287",6,"DegreeCentralization",0.00019659356856692,"2","3",10,41,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 41","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"288",0,"Transitivity",0.929442370323298,"2","3",11,42,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 42","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"289",1,"Average Clustering",0.930181166669472,"2","3",11,42,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 42","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"290",2,"GlobalEfficiency",7.71287328242851,"2","3",11,42,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 42","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"291",3,"Sum",13678,"2","3",11,42,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 42","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"292",4,"Modularity",0.0138017850496241,"2","3",11,42,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 42","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"293",5,"Assortativity",-0.0395995747811601,"2","3",11,42,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 42","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"294",6,"DegreeCentralization",0.000209251409173653,"2","3",11,42,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 42","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"295",0,"Transitivity",0.94307059709272,"2","3",12,43,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 43","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"296",1,"Average Clustering",0.943736273418985,"2","3",12,43,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 43","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"297",2,"GlobalEfficiency",7.9118522717408,"2","3",12,43,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 43","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"298",3,"Sum",14698,"2","3",12,43,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 43","Head_Head","RooibosTea","Day","RooibosTea TRUE"
