"","X","params","values","ExpDay","Day","Zeit","Hour","Col","QR","ID","Mod","Trial","TimeOfDay"
"51",4,"Modularity",0.0411759876308525,"1","1",13,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"52",5,"Assortativity",-0.0476703376184621,"1","1",13,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"53",6,"DegreeCentralization",0.000545664676183261,"1","1",13,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"54",0,"Transitivity",0.929387435501034,"1","2",14,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"55",1,"Average Clustering",0.931284182846441,"1","2",14,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"56",2,"GlobalEfficiency",106.806590424833,"1","2",14,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"57",3,"Sum",137162,"1","2",14,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"58",4,"Modularity",0.0695246651690108,"1","2",14,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"59",5,"Assortativity",-0.0309503851890615,"1","2",14,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"60",6,"DegreeCentralization",0.000949326916412378,"1","2",14,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"61",0,"Transitivity",0.930312755396974,"1","2",15,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"62",1,"Average Clustering",0.931995864318296,"1","2",15,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"63",2,"GlobalEfficiency",91.2065689669333,"1","2",15,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"64",3,"Sum",116038,"1","2",15,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"65",4,"Modularity",0.071402074925896,"1","2",15,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"66",5,"Assortativity",-0.0222268237754846,"1","2",15,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"67",6,"DegreeCentralization",0.000818758341088037,"1","2",15,8,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"68",0,"Transitivity",0.921401767588738,"1","2",16,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"69",1,"Average Clustering",0.923707036500835,"1","2",16,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"70",2,"GlobalEfficiency",106.745706642122,"1","2",16,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"71",3,"Sum",127514,"1","2",16,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"72",4,"Modularity",0.131515414329493,"1","2",16,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"73",5,"Assortativity",-0.0242396365403973,"1","2",16,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"74",6,"DegreeCentralization",0.000679171816705632,"1","2",16,9,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"75",0,"Transitivity",0.878765648294957,"1","2",17,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"76",1,"Average Clustering",0.886608648577113,"1","2",17,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"77",2,"GlobalEfficiency",73.0322020341098,"1","2",17,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"78",3,"Sum",92508,"1","2",17,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"79",4,"Modularity",0.0725182843299368,"1","2",17,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"80",5,"Assortativity",-0.0382238294304396,"1","2",17,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"81",6,"DegreeCentralization",0.000313544930283459,"1","2",17,10,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"82",0,"Transitivity",0.935840839354647,"1","2",18,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"83",1,"Average Clustering",0.937344308199606,"1","2",18,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"84",2,"GlobalEfficiency",84.3861362146234,"1","2",18,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"85",3,"Sum",111912,"1","2",18,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"86",4,"Modularity",0.0557413306320595,"1","2",18,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"87",5,"Assortativity",-0.0184268192674362,"1","2",18,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"88",6,"DegreeCentralization",0.000952502128092612,"1","2",18,11,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"89",0,"Transitivity",0.951022114142412,"1","2",19,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"90",1,"Average Clustering",0.951967274557594,"1","2",19,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"91",2,"GlobalEfficiency",77.1041685762079,"1","2",19,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"92",3,"Sum",118068,"1","2",19,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"93",4,"Modularity",0.0416406449571521,"1","2",19,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"94",5,"Assortativity",-0.0373806057967579,"1","2",19,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"95",6,"DegreeCentralization",0.000484977370709376,"1","2",19,12,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"96",0,"Transitivity",0.900726549323185,"1","2",20,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"97",1,"Average Clustering",0.904135154940595,"1","2",20,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"98",2,"GlobalEfficiency",75.7102610532835,"1","2",20,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"99",3,"Sum",98774,"1","2",20,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"100",4,"Modularity",0.0614552610071048,"1","2",20,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"101",5,"Assortativity",-0.0218261179940223,"1","2",20,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"102",6,"DegreeCentralization",0.000373913627132788,"1","2",20,13,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"103",0,"Transitivity",0.946961452545965,"1","2",21,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"104",1,"Average Clustering",0.947622206806931,"1","2",21,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"105",2,"GlobalEfficiency",67.901042902217,"1","2",21,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"106",3,"Sum",100324,"1","2",21,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"107",4,"Modularity",0.0791326457526607,"1","2",21,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"108",5,"Assortativity",-0.0229710546328708,"1","2",21,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"109",6,"DegreeCentralization",0.000496417430100402,"1","2",21,14,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
